TimeStep,V[1],V[2],V[3],V[4],V[5],V[6],V[7],V[8],V[9],V[10],V[11],V[12],V[13],V[14],V[15],V[16],V[17],V[18],V[19],V[20],V[21],V[22],V[23],V[24],V[25],V[26]
844,0.318824,0.379688,0.42088,0.428725,0.417789,0.371935,0.310239,0.223155,0.125492,0.0187346,-0.0900643,-0.190695,-0.283112,-0.352509,-0.406426,-0.425856,-0.429687,-0.39262,-0.346625,-0.261755,-0.177207,-0.0662261,0.0365958,0.145556,0.241303,0.321358
845,0.259338,0.326332,0.377112,0.395006,0.400808,0.366091,0.324293,0.246751,0.166856,0.0661865,-0.0318924,-0.131113,-0.222407,-0.296071,-0.35752,-0.387554,-0.403665,-0.382984,-0.34915,-0.283647,-0.207576,-0.113921,-0.0146085,0.0845409,0.181424,0.262543
846,0.197463,0.270501,0.328326,0.359443,0.377645,0.359167,0.332892,0.269988,0.20505,0.114034,0.0261053,-0.0703218,-0.159011,-0.23777,-0.30382,-0.347127,-0.372029,-0.37134,-0.346844,-0.303926,-0.235262,-0.160753,-0.0658377,0.0231801,0.11914,0.201947
847,0.134031,0.21235,0.275465,0.321909,0.348885,0.351053,0.335903,0.292915,0.239265,0.162352,0.0828061,-0.00834962,-0.0941006,-0.177529,-0.24665,-0.303892,-0.336488,-0.356064,-0.341726,-0.320276,-0.262056,-0.204471,-0.117967,-0.0371215,0.0548491,0.139751
848,0.0696855,0.151878,0.22006,0.281404,0.316339,0.340297,0.334666,0.314215,0.269931,0.210269,0.137736,0.0544473,-0.0288354,-0.115105,-0.187667,-0.256896,-0.298961,-0.335613,-0.335523,-0.331016,-0.288947,-0.243777,-0.17096,-0.0957255,-0.0105203,0.07594
849,0.0048547,0.0892687,0.163612,0.23687,0.282119,0.325025,0.331167,0.331878,0.29825,0.256222,0.191024,0.117245,0.0359741,-0.0505897,-0.128176,-0.205755,-0.260607,-0.309556,-0.328647,-0.336025,-0.315365,-0.278863,-0.223583,-0.152808,-0.0756982,0.0106696
850,-0.0601418,0.0251226,0.106998,0.188062,0.247541,0.304144,0.32684,0.344301,0.325287,0.298639,0.243003,0.1789,0.0999759,0.0152956,-0.0686836,-0.151146,-0.221353,-0.278942,-0.319983,-0.336755,-0.339365,-0.311085,-0.273843,-0.208924,-0.139463,-0.0554619
851,-0.124915,-0.0395406,0.0502601,0.13596,0.212524,0.278089,0.321714,0.351159,0.351159,0.336633,0.29369,0.238293,0.163099,0.0812879,-0.00895991,-0.0946674,-0.180174,-0.245804,-0.307616,-0.335324,-0.358652,-0.341939,-0.319879,-0.264347,-0.20101,-0.121396
852,-0.188868,-0.103528,-0.00710337,0.082464,0.175829,0.248686,0.314424,0.353523,0.374815,0.370291,0.342476,0.294665,0.225213,0.145993,0.0514565,-0.0381578,-0.135962,-0.212083,-0.290045,-0.333225,-0.371829,-0.371977,-0.360808,-0.318579,-0.260073,-0.185871
853,-0.251185,-0.165825,-0.0655132,0.0295477,0.136005,0.218197,0.30307,0.353171,0.394532,0.400395,0.388212,0.347735,0.285836,0.208361,0.112624,0.0171022,-0.0884408,-0.178643,-0.267167,-0.330428,-0.379138,-0.400288,-0.396997,-0.370327,-0.316741,-0.247805
