TimeStep,Vn[1],Vn[2],Vn[3],Vn[4],Vn[5],Vn[6],Vn[7],Vn[8],Vn[9],Vn[10],Vn[11]
45,0.037473,0.00184701,-0.0557132,-0.0843417,0.00923151,0.0279004,0.0431254,-0.0841253,0.0508974,0.0207244,-0.0851731
46,0.01966,-0.034689,-0.065225,-0.0720013,0.0632708,0.0105035,-0.00144315,-0.0254359,0.00472028,0.0453454,-0.0674414
47,-0.00751451,-0.0652718,-0.0687969,-0.0241489,0.0703002,0.00331176,-0.0490233,0.0467908,-0.0388396,0.0316135,0.00077315
48,-0.0363932,-0.0822965,-0.0603255,0.0361538,0.0369703,-0.00021661,-0.0595661,0.0736563,-0.0433786,-0.00744177,0.0616697
49,-0.0593448,-0.0823526,-0.033227,0.0725409,-0.00586052,-0.00928563,-0.021966,0.0379575,-0.00967467,-0.0382034,0.0677117
50,-0.0708487,-0.0643754,0.008032,0.0628855,-0.0299473,-0.0206685,0.0337851,-0.0246302,0.0288051,-0.0353541,0.0187821
51,-0.0676121,-0.0299147,0.0449026,0.0163086,-0.0285061,-0.0207576,0.061319,-0.0592553,0.0378863,-0.00293091,-0.0409057
52,-0.0487634,0.013826,0.0559203,-0.0343235,-0.0139241,-0.00226472,0.0381901,-0.0394514,0.0124778,0.0302029,-0.0617102
53,-0.0174687,0.052443,0.0338536,-0.0572948,-0.00152713,0.023427,-0.0144628,0.0127452,-0.0214818,0.0359271,-0.0296233
54,0.0174872,0.0689346,-0.0063529,-0.0435371,0.00316648,0.0334078,-0.0508413,0.049583,-0.0325323,0.0109115,0.0245431
55,0.0432109,0.0537426,-0.0370336,-0.00880747,0.00374453,0.0147659,-0.0410514,0.0407859,-0.0121931,-0.0215571,0.0538383
56,0.0484767,0.0132235,-0.0379637,0.0220036,0.00393993,-0.0205856,0.0031521,-0.00171526,0.0190499,-0.0328359,0.0356707
57,0.0308501,-0.031279,-0.0111051,0.033307,0.00251988,-0.0438713,0.0402044,-0.0378083,0.0321301,-0.0140166,-0.0106944
58,-0.000214432,-0.0552058,0.0218129,0.0258105,-0.00280119,-0.0345403,0.0367345,-0.0369136,0.0161891,0.0171699,-0.0432655
59,-0.0277101,-0.04613,0.0364757,0.0101617,-0.00890411,0.000544163,-0.00296603,-0.00433116,-0.0127824,0.0330024,-0.0347619
60,-0.0369201,-0.0117979,0.0239086,-0.003675,-0.00787851,0.032389,-0.0421303,0.0264797,-0.0281949,0.0204476,0.00478936
61,-0.024359,0.0251804,-0.00448106,-0.0116667,0.00426486,0.0355372,-0.0455123,0.0264695,-0.0177781,-0.00818237,0.038986
62,0.000410689,0.0423584,-0.0272518,-0.0138791,0.0202434,0.0106049,-0.0106364,-0.00259813,0.00609954,-0.0274192,0.0381995
63,0.0213845,0.031647,-0.0292768,-0.0109041,0.0252817,-0.0172281,0.0315593,-0.0315009,0.019423,-0.0218717,0.00486588
64,0.0265158,0.00313899,-0.0114777,-0.00347575,0.0106461,-0.0222368,0.0457932,-0.0319076,0.00969189,0.000683952,-0.0307253
65,0.0148274,-0.023179,0.0119761,0.00548254,-0.0157407,-0.00201726,0.0235943,-0.00248924,-0.0126911,0.0176392,-0.0387482
66,-0.00417579,-0.0312066,0.0250177,0.0107584,-0.0333908,0.0211743,-0.0115283,0.0308995,-0.0249411,0.0129151,-0.015903
67,-0.0176912,-0.0184204,0.0204384,0.00856179,-0.0263623,0.0225489,-0.0278683,0.0397212,-0.0137668,-0.00847765,0.0137361
68,-0.0180558,0.00426275,0.00317529,0.0006033,0.00162498,-0.000908564,-0.0147067,0.0182735,0.0121017,-0.0256392,0.0223887
69,-0.00689652,0.0210944,-0.014459,-0.00645677,0.0287235,-0.0271822,0.0101496,-0.0129622,0.0300779,-0.0213586,0.00414308
70,0.00709895,0.02204,-0.0212044,-0.00672233,0.0330505,-0.0301465,0.0198949,-0.0276599,0.024435,0.00215658,-0.0207715
71,0.0145695,0.00843923,-0.0135181,-0.000665181,0.0116351,-0.00480114,0.00524118,-0.0174452,0.000198744,0.0255094,-0.0259172
72,0.0115044,-0.00911832,0.00287068,0.0052538,-0.0169645,0.0271638,-0.0175947,0.00285213,-0.0221209,0.0296778,-0.00363435
73,0.00119302,-0.018523,0.016858,0.00502243,-0.0289774,0.0369071,-0.0241293,0.0117945,-0.0252475,0.0125686,0.0278769
74,-0.00866497,-0.0141534,0.0190412,-0.000749997,-0.0160192,0.0149201,-0.00642379,0.0024954,-0.00965968,-0.0101676,0.0412303
75,-0.0114092,-0.000113014,0.00797797,-0.00539194,0.00849107,-0.0201376,0.0188475,-0.0120722,0.00883999,-0.0199273,0.0244336
76,-0.00576109,0.013126,-0.0084505,-0.00322065,0.0223734,-0.038292,0.0266425,-0.0136819,0.0149198,-0.011405,-0.00894465
77,0.00368247,0.0162492,-0.0181774,0.0040417,0.014691,-0.0250463,0.00812284,0.00193994,0.00726793,0.0043136,-0.032427
78,0.00996582,0.00762399,-0.0137428,0.00841159,-0.00558817,0.00642594,-0.0202348,0.0204395,-0.00245448,0.0115856,-0.0297116
79,0.00879491,-0.00575743,0.00157201,0.00374294,-0.0193638,0.0282295,-0.0317587,0.023047,-0.00294337,0.00502332,-0.00725272
80,0.00151874,-0.0136684,0.0155972,-0.00724514,-0.0154645,0.0231376,-0.0145841,0.00545546,0.00505701,-0.00659967,0.0138579
81,-0.00607484,-0.0104662,0.0165954,-0.0145775,0.000140248,-0.00103519,0.0170308,-0.0172456,0.0102428,-0.0101941,0.0177028
82,-0.00827052,0.000599272,0.00303503,-0.0104371,0.0117717,-0.0203976,0.0355601,-0.0245055,0.00344732,-0.00170506,0.00631768
83,-0.00383562,0.0100562,-0.0145024,0.00262345,0.00980857,-0.0177283,0.0250836,-0.00976072,-0.0116245,0.0100778,-0.00528379
84,0.0031103,0.00990058,-0.0216187,0.0131988,-0.000835037,0.00252821,-0.00480694,0.0132292,-0.0208048,0.0125946,-0.00533734
85,0.00650544,0.000167545,-0.0121508,0.0115614,-0.00712936,0.0201101,-0.0283547,0.0232015,-0.0131267,0.00227865,0.00359295
86,0.00333649,-0.0110606,0.00632475,-0.000676783,-0.00194112,0.018766,-0.0268972,0.0112028,0.00748472,-0.0115601,0.00888932
87,-0.00386205,-0.0143431,0.0187035,-0.0114807,0.00873999,0.000829264,-0.0044989,-0.0112505,0.0242645,-0.0155253,0.00219553
88,-0.00910258,-0.00674372,0.0152746,-0.00968333,0.0123882,-0.0164618,0.0175435,-0.0231371,0.0222181,-0.00511283,-0.0111274
89,-0.00792315,0.00577055,0.000101627,0.00387138,0.0033061,-0.0180391,0.0209145,-0.0135148,0.00200013,0.0106287,-0.0170021
