b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
5.0000000000e-01,8.4847860436e-05,5.6234132519e-02,9.9914990860e+02,1.6550286665e-01,9.9883632412e+02,2.5030730823e+01
5.0000000000e-01,9.0916120465e-05,6.0255958607e-02,9.2764620003e+02,1.5365872930e-01,9.2730844270e+02,2.5030471922e+01
5.0000000000e-01,9.7418378235e-05,6.4565422903e-02,8.6091688386e+02,1.4260543988e-01,8.6055294507e+02,2.5030174666e+01
5.0000000000e-01,1.0438567296e-04,6.9183097092e-02,7.9864370958e+02,1.3229028220e-01,7.9825139042e+02,2.5029833372e+01
5.0000000000e-01,1.1185126377e-04,7.4131024130e-02,7.4052977730e+02,1.2266407666e-01,7.4010666673e+02,2.5029441519e+01
5.0000000000e-01,1.1985078845e-04,7.9432823472e-02,6.8629812755e+02,1.1368094668e-01,6.8584157752e+02,2.5028991614e+01
5.0000000000e-01,1.2842243357e-04,8.5113803820e-02,6.3569042188e+02,1.0529810013e-01,6.3519751882e+02,2.5028475061e+01
5.0000000000e-01,1.3760711679e-04,9.1201083936e-02,5.8846570582e+02,9.7475624426e-02,5.8793323775e+02,2.5027881985e+01
5.0000000000e-01,1.4744868218e-04,9.7723722096e-02,5.4440367385e+02,9.0177027350e-02,5.4382809720e+02,2.5027201054e+01
5.0000000000e-01,1.5799410949e-04,1.0471285481e-01,5.0328630369e+02,8.3366194890e-02,5.0266368659e+02,2.5026419252e+01
5.0000000000e-01,1.6929373843e-04,1.1220184543e-01,4.6492140660e+02,7.7011292195e-02,4.6424738834e+02,2.5025521641e+01
5.0000000000e-01,1.8140150899e-04,1.2022644346e-01,4.2912689610e+02,7.1082157791e-02,4.2839662441e+02,2.5024491067e+01
5.0000000000e-01,1.9437521888e-04,1.2882495517e-01,3.9575448972e+02,6.5554229624e-02,3.9496259342e+02,2.5023307840e+01
5.0000000000e-01,2.0827679949e-04,1.3803842646e-01,3.6459700140e+02,6.0393188632e-02,3.6373737157e+02,2.5021949352e+01
5.0000000000e-01,2.2317261148e-04,1.4791083882e-01,3.3553228024e+02,5.5578801294e-02,3.3459810398e+02,2.5020389651e+01
5.0000000000e-01,2.3913376161e-04,1.5848931925e-01,3.0842316784e+02,5.1088348183e-02,3.0740676662e+02,2.5018598941e+01
