b,rho_m,k_rho,phase_deg
2.0000000000e-01,1.8140150899e-04,1.2022644346e-01,3.4729692888e-01
2.0000000000e-01,1.9437521888e-04,1.2882495517e-01,3.8097919621e-01
2.0000000000e-01,2.0827679949e-04,1.3803842646e-01,4.1879770254e-01
2.0000000000e-01,2.2317261148e-04,1.4791083882e-01,4.6142393328e-01
2.0000000000e-01,2.3913376161e-04,1.5848931925e-01,5.0967985466e-01
2.0000000000e-01,2.5623644209e-04,1.6982436525e-01,5.6452058638e-01
2.0000000000e-01,2.7456229441e-04,1.8197008586e-01,6.2717914207e-01
2.0000000000e-01,2.9419879895e-04,1.9498445998e-01,6.9915464378e-01
2.0000000000e-01,3.1523969265e-04,2.0892961309e-01,7.8231384194e-01
2.0000000000e-01,3.3778541646e-04,2.2387211386e-01,8.7900133134e-01
2.0000000000e-01,3.6194359476e-04,2.3988329190e-01,9.9219134231e-01
2.0000000000e-01,3.8782954919e-04,2.5703957828e-01,1.1257006035e+00
2.0000000000e-01,4.1556684910e-04,2.7542287033e-01,1.2845436428e+00
2.0000000000e-01,4.4528790143e-04,2.9512092267e-01,1.4751044331e+00
2.0000000000e-01,4.7713458277e-04,3.1622776602e-01,1.7061395519e+00
2.0000000000e-01,5.1125891663e-04,3.3884415614e-01,1.9894350136e+00
2.0000000000e-01,5.4782379915e-04,3.6307805477e-01,2.3412561722e+00
2.0000000000e-01,5.8700377666e-04,3.8904514499e-01,2.7844997299e+00
2.0000000000e-01,6.2898587893e-04,4.1686938347e-01,3.3521426321e+00
2.0000000000e-01,6.7397051200e-04,4.4668359215e-01,4.0929969343e+00
2.0000000000e-01,7.2217241477e-04,4.7863009232e-01,5.0818053432e+00
2.0000000000e-01,7.7382168413e-04,5.1286138399e-01,6.4380238590e+00
2.0000000000e-01,8.2916487336e-04,5.4954087386e-01,8.3631182858e+00
2.0000000000e-01,8.8846616903e-04,5.8884365536e-01,1.1220033063e+01
2.0000000000e-01,9.5200865217e-04,6.3095734448e-01,1.5715835836e+01
2.0000000000e-01,1.0200956496e-03,6.7608297539e-01,2.3350413734e+01
2.0000000000e-01,1.0930521817e-03,7.2443596007e-01,3.7460946605e+01
2.0000000000e-01,1.1712265143e-03,7.7624711663e-01,6.3644768239e+01
2.0000000000e-01,1.2549918209e-03,8.3176377110e-01,9.7894036359e+01
2.0000000000e-01,1.3447479640e-03,8.9125093813e-01,1.2191023116e+02
2.0000000000e-01,1.4409234041e-03,9.5499258602e-01,1.3438069252e+02
2.0000000000e-01,1.5439772449e-03,1.0232929923e+00,1.4080042892e+02
2.0000000000e-01,1.6544014247e-03,1.0964781961e+00,1.4419453524e+02
2.0000000000e-01,1.7727230652e-03,1.1748975549e+00,1.4591138676e+02
2.0000000000e-01,1.8995069872e-03,1.2589254118e+00,1.4656148649e+02
2.0000000000e-01,2.0353584072e-03,1.3489628826e+00,1.4647330971e+02
2.0000000000e-01,2.1809258264e-03,1.4454397707e+00,1.4584445956e+02
2.0000000000e-01,2.3369041263e-03,1.5488166189e+00,1.4478198195e+02
2.0000000000e-01,2.5040378858e-03,1.6595869074e+00,1.4336698466e+02
2.0000000000e-01,2.6831249357e-03,1.7782794100e+00,1.4163843995e+02
2.0000000000e-01,2.8750201669e-03,1.9054607180e+00,1.3963288656e+02
2.0000000000e-01,3.0806396118e-03,2.0417379447e+00,1.3736226021e+02
2.0000000000e-01,3.3009648166e-03,2.1877616239e+00,1.3485340971e+02
2.0000000000e-01,3.5370475269e-03,2.3442288153e+00,1.3210306240e+02
2.0000000000e-01,3.7900147086e-03,2.5118864315e+00,1.2911186334e+02
2.0000000000e-01,4.0610739274e-03,2.6915348039e+00,1.2587649026e+02
2.0000000000e-01,4.3515191132e-03,2.8840315031e+00,1.2238689958e+02
2.0000000000e-01,4.6627367369e-03,3.0902954325e+00,1.1862576176e+02
2.0000000000e-01,4.9962124288e-03,3.3113112148e+00,1.1458329371e+02
2.0000000000e-01,5.3535380705e-03,3.5481338923e+00,1.1023313872e+02
2.0000000000e-01,5.7364193939e-03,3.8018939632e+00,1.0554651386e+02
2.0000000000e-01,6.1466841235e-03,4.0738027780e+00,1.0053220513e+02
2.0000000000e-01,6.5862907015e-03,4.3651583224e+00,9.5048871666e+01
2.0000000000e-01,7.0573376366e-03,4.6773514129e+00,8.9172096161e+01
2.0000000000e-01,7.5620735212e-03,5.0118723363e+00,8.2822806117e+01
2.0000000000e-01,8.1029077656e-03,5.3703179637e+00,7.5998427547e+01
2.0000000000e-01,8.6824220994e-03,5.7543993734e+00,6.8676745945e+01
2.0000000000e-01,9.3033828957e-03,6.1659500186e+00,6.0876403031e+01
2.0000000000e-01,9.9687543768e-03,6.6069344801e+00,5.2549476067e+01
2.0000000000e-01,1.0681712764e-02,7.0794578438e+00,4.3732451032e+01
2.0000000000e-01,1.1445661439e-02,7.5857757503e+00,3.4388694389e+01
2.0000000000e-01,1.2264247194e-02,8.1283051616e+00,2.4348637484e+01
2.0000000000e-01,1.3141377632e-02,8.7096358996e+00,1.3707758805e+01
2.0000000000e-01,1.4081239830e-02,9.3325430080e+00,2.1298218196e+00
