x,y,phi,Ex,Ey
1.0625000000e+00,6.2500000000e-01,4.6837730827e-02,2.7233728899e-01,-1.1928801376e-04
1.1250000000e+00,6.2500000000e-01,3.0493901206e-02,2.5445980474e-01,-6.1413867618e-04
1.1875000000e+00,6.2500000000e-01,1.5030255235e-02,2.4395120965e-01,-4.5896289543e-04
1.2500000000e+00,6.2500000000e-01,0.0000000000e+00,2.4048408376e-01,-0.0000000000e+00
0.0000000000e+00,6.8750000000e-01,6.5232484147e-01,8.1340292970e-02,1.6390229704e+00
6.2500000000e-02,6.8750000000e-01,6.4724107315e-01,1.6860388492e-01,1.6386629492e+00
1.2500000000e-01,6.8750000000e-01,6.3124935585e-01,3.5991579866e-01,1.6295032543e+00
1.8750000000e-01,6.8750000000e-01,6.0225159832e-01,5.8877891452e-01,1.5821103224e+00
2.5000000000e-01,6.8750000000e-01,5.5765199154e-01,8.3614793297e-01,1.4332028363e+00
3.1250000000e-01,6.8750000000e-01,4.9773310670e-01,9.9605710897e-01,1.1024922020e+00
3.7500000000e-01,6.8750000000e-01,4.3314485291e-01,1.0110257301e+00,7.9150826823e-01
4.3750000000e-01,6.8750000000e-01,3.7135489044e-01,9.4038825013e-01,5.5705616137e-01
5.0000000000e-01,6.8750000000e-01,3.1559632165e-01,8.3771039444e-01,3.9270447954e-01
5.6250000000e-01,6.8750000000e-01,2.6664109114e-01,7.3146306235e-01,2.7952892618e-01
6.2500000000e-01,6.8750000000e-01,2.2416343885e-01,6.3359166455e-01,2.0122851306e-01
6.8750000000e-01,6.8750000000e-01,1.8744213307e-01,5.4796589812e-01,1.4632775681e-01
7.5000000000e-01,6.8750000000e-01,1.5566770159e-01,4.7504623049e-01,1.0721199316e-01
8.1250000000e-01,6.8750000000e-01,1.2806135426e-01,4.1403936555e-01,7.8878935006e-02
8.7500000000e-01,6.8750000000e-01,1.0391278090e-01,3.6380873486e-01,5.8006875924e-02
9.3750000000e-01,6.8750000000e-01,8.2585262403e-02,3.2323366789e-01,4.2344883134e-02
1.0000000000e+00,6.8750000000e-01,6.3508572409e-02,2.9133861613e-01,3.0328262416e-02
1.0625000000e+00,6.8750000000e-01,4.6167935386e-02,2.6733103495e-01,2.0835884631e-02
1.1250000000e+00,6.8750000000e-01,3.0092193040e-02,2.5060552273e-01,1.3033685470e-02
1.1875000000e+00,6.8750000000e-01,1.4842245045e-02,2.4073754432e-01,6.2697866332e-03
1.2500000000e+00,6.8750000000e-01,0.0000000000e+00,2.3747592072e-01,-0.0000000000e+00
0.0000000000e+00,7.5000000000e-01,5.5496967414e-01,7.5056973119e-02,1.4826257042e+00
6.2500000000e-02,7.5000000000e-01,5.5027861332e-01,1.5249001233e-01,1.4739663182e+00
1.2500000000e-01,7.5000000000e-01,5.3590842260e-01,3.1286388407e-01,1.4425140996e+00
1.8750000000e-01,7.5000000000e-01,5.1117062781e-01,4.8137575449e-01,1.3717244902e+00
2.5000000000e-01,7.5000000000e-01,4.7573645329e-01,6.4006879410e-01,1.2375266101e+00
3.1250000000e-01,7.5000000000e-01,4.3116202855e-01,7.4768010256e-01,1.0306479438e+00
3.7500000000e-01,7.5000000000e-01,3.8227644047e-01,7.8111076026e-01,8.1495324815e-01
4.3750000000e-01,7.5000000000e-01,3.3352318352e-01,7.5700654335e-01,6.2835287879e-01
5.0000000000e-01,7.5000000000e-01,2.8765062255e-01,7.0073151510e-01,4.8036064592e-01
5.6250000000e-01,7.5000000000e-01,2.4593174413e-01,6.3153711211e-01,3.6731449456e-01
6.2500000000e-01,7.5000000000e-01,2.0870848354e-01,5.6086826390e-01,2.8198319064e-01
6.8750000000e-01,7.5000000000e-01,1.7582321114e-01,4.9460458877e-01,2.1746252037e-01
7.5000000000e-01,7.5000000000e-01,1.4688290994e-01,4.3536541836e-01,1.6823606724e-01
8.1250000000e-01,7.5000000000e-01,1.2140253385e-01,3.8404868981e-01,1.3017845423e-01
8.7500000000e-01,7.5000000000e-01,9.8876823714e-02,3.4071392729e-01,1.0027274970e-01
9.3750000000e-01,7.5000000000e-01,7.8813292938e-02,3.0505435349e-01,7.6313650363e-02
1.0000000000e+00,7.5000000000e-01,6.0745029528e-02,2.7664038152e-01,5.6668519280e-02
1.0625000000e+00,7.5000000000e-01,4.4233245248e-02,2.5504271204e-01,4.0100878804e-02
1.1250000000e+00,7.5000000000e-01,2.8864690523e-02,2.3989370674e-01,2.5643209402e-02
1.1875000000e+00,7.5000000000e-01,1.4246531906e-02,2.3091752418e-01,1.2504423909e-02
1.2500000000e+00,7.5000000000e-01,0.0000000000e+00,2.2794451049e-01,-0.0000000000e+00
0.0000000000e+00,8.1250000000e-01,4.6699662844e-01,6.4021520986e-02,1.3435472104e+00
